P,N,E,N,C
17.01.01.A,7230017.086,2685948.808,705.142904,Pink/Orange
17.01.01.B,7229987.774,2685948.808,705.271715,Pink/Orange
17.01.01.C,7229958.461,2685948.808,705.400531,Pink/White
17.01.01.D,7229929.148,2685948.808,705.529346,Pink/White
17.01.01.E,7229899.836,2685948.808,705.658157,Pink/White
17.01.01.F,7229870.523,2685948.808,705.786973,Pink/White
17.01.01.G,7229842.643,2685948.808,705.909491,Black/White
17.01.01.H,7229810.669,2685948.808,706.05,Pink/White
17.01.01.I,7229781.357,2685948.808,706.178812,Pink/White
17.01.01.J,7229752.044,2685948.808,706.307627,Pink/White
17.01.01.K,7229722.731,2685948.808,706.436443,Pink/Orange
17.01.01.L,7229693.419,2685948.808,706.565254,Pink/Orange
17.01.02.A,7230017.086,2685966.808,705.42298,Pink/Orange
17.01.02.B,7229987.774,2685966.808,705.533551,Pink/Orange
17.01.02.C,7229958.461,2685966.808,705.644126,Pink/White
17.01.02.D,7229929.148,2685966.808,705.754701,Pink/White
17.01.02.E,7229899.836,2685966.808,705.865272,Pink/White
17.01.02.F,7229870.523,2685966.808,705.975847,Pink/White
17.01.02.G,7229842.643,2685966.808,706.081016,Purple/White
17.01.02.H,7229810.669,2685966.808,706.201629,Pink/White
17.01.02.I,7229781.357,2685966.808,706.3122,Pink/White
17.01.02.J,7229752.044,2685966.808,706.422775,Pink/White
17.01.02.K,7229722.731,2685966.808,706.53335,Pink/Orange
17.01.02.L,7229693.419,2685966.808,706.643921,Pink/Orange
17.01.03.A,7230017.086,2685984.808,705.697379,Yellow/Orange
17.01.03.B,7229987.774,2685984.808,705.808096,Yellow/White
17.01.03.C,7229958.461,2685984.808,705.918818,Yellow/White
17.01.03.D,7229929.148,2685984.808,706.02954,Yellow/White
17.01.03.E,7229899.836,2685984.808,706.140257,Yellow/White
17.01.03.F,7229870.523,2685984.808,706.250979,Yellow/White
17.01.03.G,7229842.643,2685984.808,706.356288,Green/White
17.01.03.H,7229810.669,2685984.808,706.47706,Red/White
17.01.03.I,7229781.357,2685984.808,706.587778,Red/White
17.01.03.J,7229752.044,2685984.808,706.6985,Yellow/White
17.01.03.K,7229722.731,2685984.808,706.809221,Yellow/White
17.01.03.L,7229693.419,2685984.808,706.919939,Yellow/Orange
17.01.04.A,7230017.086,2686002.808,705.608949,Yellow/Orange
17.01.04.B,7229987.774,2686002.808,705.747539,Yellow/White
17.01.04.C,7229958.461,2686002.808,705.886134,Yellow/White
17.01.04.D,7229929.148,2686002.808,706.024729,Yellow/White
17.01.04.E,7229899.836,2686002.808,706.163319,Yellow/White
17.01.04.F,7229870.523,2686002.808,706.301914,Yellow/White
17.01.04.G,7229842.643,2686002.808,706.433733,Green/White
17.01.04.H,7229810.669,2686002.808,706.58491,Yellow/White
17.01.04.I,7229781.357,2686002.808,706.7235,Yellow/White
17.01.04.J,7229752.044,2686002.808,706.862095,Yellow/White
17.01.04.K,7229722.731,2686002.808,707.00069,Yellow/White
17.01.04.L,7229693.419,2686002.808,707.13928,Yellow/Orange
17.01.05.A,7230017.086,2686020.808,706.247578,Yellow/Orange
17.01.05.B,7229987.774,2686020.808,706.362708,Yellow/White
17.01.05.C,7229958.461,2686020.808,706.477843,Yellow/White
17.01.05.D,7229929.148,2686020.808,706.592978,Yellow/White
17.01.05.E,7229899.836,2686020.808,706.708108,Yellow/White
17.01.05.F,7229870.523,2686020.808,706.823243,Yellow/White
17.01.05.G,7229842.643,2686020.808,706.932749,Blue/White
17.01.05.H,7229810.669,2686020.808,707.058335,Yellow/White
17.01.05.I,7229781.357,2686020.808,707.173466,Yellow/White
17.01.05.J,7229752.044,2686020.808,707.2886,Yellow/White
17.01.05.K,7229722.731,2686020.808,707.403735,Yellow/White
17.01.05.L,7229693.419,2686020.808,707.518866,Yellow/Orange
17.01.06.A,7230017.086,2686038.808,706.5887,Yellow/Orange
17.01.06.B,7229987.774,2686038.808,706.699733,Yellow/White
17.01.06.C,7229958.461,2686038.808,706.810769,Yellow/White
17.01.06.D,7229929.148,2686038.808,706.921806,Yellow/White
17.01.06.E,7229899.836,2686038.808,707.032839,Yellow/White
17.01.06.F,7229870.523,2686038.808,707.143876,Yellow/White
17.01.06.G,7229842.643,2686038.808,707.249484,Blue/White
17.01.06.H,7229810.669,2686038.808,707.370601,Yellow/White
17.01.06.I,7229781.357,2686038.808,707.481633,Yellow/White
17.01.06.J,7229752.044,2686038.808,707.59267,Yellow/White
17.01.06.K,7229722.731,2686038.808,707.703707,Yellow/White
17.01.06.L,7229693.419,2686038.808,707.81474,Yellow/Orange
17.01.07.A,7230017.086,2686056.808,706.901119,Yellow/Orange
17.01.07.B,7229987.774,2686056.808,706.999324,Yellow/White
17.01.07.C,7229958.461,2686056.808,707.097532,Yellow/White
17.01.07.D,7229929.148,2686056.808,707.195741,Yellow/White
17.01.07.E,7229899.836,2686056.808,707.293946,Yellow/White
17.01.07.F,7229870.523,2686056.808,707.392155,Yellow/White
17.01.07.G,7229842.643,2686056.808,707.485562,Green/White
17.01.07.H,7229810.669,2686056.808,707.592686,Yellow/White
17.01.07.I,7229781.357,2686056.808,707.690891,Yellow/White
17.01.07.J,7229752.044,2686056.808,707.7891,Yellow/White
17.01.07.K,7229722.731,2686056.808,707.887308,Yellow/White
17.01.07.L,7229693.419,2686056.808,707.985514,Yellow/Orange
17.01.08.A,7230017.086,2686074.808,707.0457,Yellow/Orange
17.01.08.B,7229987.774,2686074.808,707.133052,Yellow/White
17.01.08.C,7229958.461,2686074.808,707.220407,Yellow/White
17.01.08.D,7229929.148,2686074.808,707.307762,Yellow/White
17.01.08.E,7229899.836,2686074.808,707.395114,Yellow/White
17.01.08.F,7229870.523,2686074.808,707.482469,Yellow/White
17.01.08.G,7229842.643,2686074.808,707.565553,Blue/White
17.01.08.H,7229810.669,2686074.808,707.660838,Yellow/White
17.01.08.I,7229781.357,2686074.808,707.74819,Yellow/White
17.01.08.J,7229752.044,2686074.808,707.835545,Yellow/White
17.01.08.K,7229722.731,2686074.808,707.9229,Yellow/White
17.01.08.L,7229693.419,2686074.808,708.010252,Yellow/Orange
17.01.09.A,7230017.086,2686092.808,707.2124,Yellow/Orange
17.01.09.B,7229987.774,2686092.808,707.282069,Yellow/White
17.01.09.C,7229958.461,2686092.808,707.351741,Yellow/White
17.01.09.D,7229929.148,2686092.808,707.421412,Yellow/White
17.01.09.E,7229899.836,2686092.808,707.491081,Yellow/White
17.01.09.F,7229870.523,2686092.808,707.560752,Yellow/White
17.01.09.G,7229842.643,2686092.808,707.627018,Blue/White
17.01.09.H,7229810.669,2686092.808,707.703014,Yellow/White
17.01.09.I,7229781.357,2686092.808,707.772683,Yellow/White
17.01.09.J,7229752.044,2686092.808,707.842354,Yellow/White
17.01.09.K,7229722.731,2686092.808,707.912026,Yellow/White
17.01.09.L,7229693.419,2686092.808,707.981695,Yellow/Orange
17.01.10.A,7230017.086,2686110.808,707.3366,Yellow/Orange
17.01.10.B,7229987.774,2686110.808,707.405718,Yellow/White
17.01.10.C,7229958.461,2686110.808,707.474839,Yellow/White
17.01.10.D,7229929.148,2686110.808,707.54396,Yellow/White
17.01.10.E,7229899.836,2686110.808,707.613078,Yellow/White
17.01.10.F,7229870.523,2686110.808,707.682199,Yellow/White
17.01.10.G,7229842.643,2686110.808,707.747941,Blue/White
17.01.10.H,7229810.669,2686110.808,707.823337,Yellow/White
17.01.10.I,7229781.357,2686110.808,707.892455,Yellow/White
17.01.10.J,7229752.044,2686110.808,707.961576,Yellow/White
17.01.10.K,7229722.731,2686110.808,708.030697,Yellow/White
17.01.10.L,7229693.419,2686110.808,708.099815,Yellow/Orange
17.01.11.A,7230017.086,2686128.808,707.4623,Yellow/Orange
17.01.11.B,7229987.774,2686128.808,707.548085,Yellow/White
17.01.11.C,7229958.461,2686128.808,707.633873,Yellow/White
17.01.11.D,7229929.148,2686128.808,707.71966,Yellow/White
17.01.11.E,7229899.836,2686128.808,707.805445,Yellow/White
17.01.11.F,7229870.523,2686128.808,707.891233,Yellow/White
17.01.11.G,7229842.643,2686128.808,707.972826,Blue/White
17.01.11.H,7229810.669,2686128.808,708.066402,Yellow/White
17.01.11.I,7229781.357,2686128.808,708.152186,Yellow/White
17.01.11.J,7229752.044,2686128.808,708.237974,Yellow/White
17.01.11.K,7229722.731,2686128.808,708.323762,Yellow/White
17.01.11.L,7229693.419,2686128.808,708.409546,Yellow/Orange
17.01.12.A,7230017.086,2686146.808,707.782348,Yellow/Orange
17.01.12.B,7229987.774,2686146.808,707.874136,Yellow/White
17.01.12.C,7229958.461,2686146.808,707.965927,Yellow/White
17.01.12.D,7229929.148,2686146.808,708.057718,Yellow/White
17.01.12.E,7229899.836,2686146.808,708.149506,Yellow/White
17.01.12.F,7229870.523,2686146.808,708.241297,Yellow/White
17.01.12.G,7229842.643,2686146.808,708.3286,Blue/White
17.01.12.H,7229810.669,2686146.808,708.428724,Yellow/White
17.01.12.I,7229781.357,2686146.808,708.520512,Yellow/White
17.01.12.J,7229752.044,2686146.808,708.612303,Yellow/White
17.01.12.K,7229722.731,2686146.808,708.704094,Yellow/White
17.01.12.L,7229693.419,2686146.808,708.795882,Yellow/Orange
17.01.13.A,7230017.086,2686164.808,707.984555,Yellow/Orange
17.01.13.B,7229987.774,2686164.808,708.067822,Yellow/White
17.01.13.C,7229958.461,2686164.808,708.151092,Yellow/White
17.01.13.D,7229929.148,2686164.808,708.234363,Yellow/White
17.01.13.E,7229899.836,2686164.808,708.31763,Yellow/White
17.01.13.F,7229870.523,2686164.808,708.4009,Yellow/White
17.01.13.G,7229842.643,2686164.808,708.4801,Blue/White
17.01.13.H,7229810.669,2686164.808,708.570929,Yellow/White
17.01.13.I,7229781.357,2686164.808,708.654197,Yellow/White
17.01.13.J,7229752.044,2686164.808,708.737467,Yellow/White
17.01.13.K,7229722.731,2686164.808,708.820737,Yellow/White
17.01.13.L,7229693.419,2686164.808,708.904005,Yellow/Orange
17.01.14.A,7230017.086,2686182.808,708.0152,Yellow/Orange
17.01.14.B,7229987.774,2686182.808,708.103134,Yellow/White
17.01.14.C,7229958.461,2686182.808,708.19107,Yellow/White
17.01.14.D,7229929.148,2686182.808,708.279007,Yellow/White
17.01.14.E,7229899.836,2686182.808,708.36694,Yellow/White
17.01.14.F,7229870.523,2686182.808,708.454876,Yellow/White
17.01.14.G,7229842.643,2686182.808,708.538514,Blue/White
17.01.14.H,7229810.669,2686182.808,708.634433,Yellow/White
17.01.14.I,7229781.357,2686182.808,708.722367,Yellow/White
17.01.14.J,7229752.044,2686182.808,708.810303,Yellow/White
17.01.14.K,7229722.731,2686182.808,708.898239,Yellow/White
17.01.14.L,7229693.419,2686182.808,708.986173,Yellow/Orange
17.01.15.A,7230017.086,2686200.808,708.0805,Yellow/Orange
17.01.15.B,7229987.774,2686200.808,708.182096,Yellow/White
17.01.15.C,7229958.461,2686200.808,708.283697,Yellow/White
17.01.15.D,7229929.148,2686200.808,708.385297,Yellow/White
17.01.15.E,7229899.836,2686200.808,708.486894,Yellow/White
17.01.15.F,7229870.523,2686200.808,708.588494,Yellow/White
17.01.15.G,7229842.643,2686200.808,708.685128,Blue/White
17.01.15.H,7229810.669,2686200.808,708.795952,Yellow/White
17.01.15.I,7229781.357,2686200.808,708.897548,Yellow/White
17.01.15.J,7229752.044,2686200.808,708.999149,Yellow/White
17.01.15.K,7229722.731,2686200.808,709.100749,Yellow/White
17.01.15.L,7229693.419,2686200.808,709.202346,Yellow/Orange
17.01.16.A,7230017.086,2686218.808,708.0889,Yellow/Orange
17.01.16.B,7229987.774,2686218.808,708.184561,Yellow/White
17.01.16.C,7229958.461,2686218.808,708.280224,Yellow/White
17.01.16.D,7229929.148,2686218.808,708.375888,Yellow/White
17.01.16.E,7229899.836,2686218.808,708.471548,Yellow/White
17.01.16.F,7229870.523,2686218.808,708.567212,Yellow/White
17.01.16.G,7229842.643,2686218.808,708.658199,Blue/White
17.01.16.H,7229810.669,2686218.808,708.762547,Yellow/White
17.01.16.I,7229781.357,2686218.808,708.858207,Yellow/White
17.01.16.J,7229752.044,2686218.808,708.953871,Yellow/White
17.01.16.K,7229722.731,2686218.808,709.049535,Yellow/White
17.01.16.L,7229693.419,2686218.808,709.145195,Yellow/Orange
17.01.17.A,7230017.086,2686236.808,708.0783,Yellow/Orange
17.01.17.B,7229987.774,2686236.808,708.191691,Yellow/White
17.01.17.C,7229958.461,2686236.808,708.305086,Yellow/White
17.01.17.D,7229929.148,2686236.808,708.418481,Yellow/White
17.01.17.E,7229899.836,2686236.808,708.531872,Yellow/White
17.01.17.F,7229870.523,2686236.808,708.645267,Yellow/White
17.01.17.G,7229842.643,2686236.808,708.753118,Green/White
17.01.17.H,7229810.669,2686236.808,708.876807,Yellow/White
17.01.17.I,7229781.357,2686236.808,708.990198,Yellow/White
17.01.17.J,7229752.044,2686236.808,709.103593,Yellow/White
17.01.17.K,7229722.731,2686236.808,709.216988,Yellow/White
17.01.17.L,7229693.419,2686236.808,709.330379,Yellow/Orange
17.01.18.A,7230017.086,2686254.808,708.0159,Yellow/Black
17.01.18.B,7229987.774,2686254.808,708.143079,Yellow
17.01.18.C,7229958.461,2686254.808,708.270264,Yellow
17.01.18.D,7229929.148,2686254.808,708.397448,Yellow
17.01.18.E,7229899.836,2686254.808,708.524628,Yellow
17.01.18.F,7229870.523,2686254.808,708.651812,Yellow
17.01.18.G,7229842.643,2686254.808,708.772779,Blue
17.01.18.H,7229810.669,2686254.808,708.911509,Yellow
17.01.18.I,7229781.357,2686254.808,709.038689,Yellow
17.01.18.J,7229752.044,2686254.808,709.165873,Yellow
17.01.18.K,7229722.731,2686254.808,709.293057,Yellow
17.01.18.L,7229693.419,2686254.808,709.420237,Yellow/Black
17.01.19.A,7230017.086,2686272.808,707.9725,Yellow/Black
17.01.19.B,7229987.774,2686272.808,708.111721,Yellow
17.01.19.C,7229958.461,2686272.808,708.250946,Yellow
17.01.19.D,7229929.148,2686272.808,708.390171,Yellow
17.01.19.E,7229899.836,2686272.808,708.529392,Yellow
17.01.19.F,7229870.523,2686272.808,708.668617,Yellow
17.01.19.G,7229842.643,2686272.808,708.801036,Blue
17.01.19.H,7229810.669,2686272.808,708.9529,Yellow
17.01.19.I,7229781.357,2686272.808,709.092121,Yellow
17.01.19.J,7229752.044,2686272.808,709.231346,Yellow
17.01.19.K,7229722.731,2686272.808,709.370572,Yellow
17.01.19.L,7229693.419,2686272.808,709.509792,Yellow/Black
17.01.20.A,7230017.086,2686290.808,707.963,Yellow/Black
17.01.20.B,7229987.774,2686290.808,708.116589,Yellow
17.01.20.C,7229958.461,2686290.808,708.270183,Yellow
17.01.20.D,7229929.148,2686290.808,708.423777,Yellow
17.01.20.E,7229899.836,2686290.808,708.577367,Yellow
17.01.20.F,7229870.523,2686290.808,708.730961,Yellow
17.01.20.G,7229842.643,2686290.808,708.877047,Blue
17.01.20.H,7229810.669,2686290.808,709.044584,Yellow
17.01.20.I,7229781.357,2686290.808,709.198173,Yellow
17.01.20.J,7229752.044,2686290.808,709.351768,Yellow
17.01.20.K,7229722.731,2686290.808,709.505362,Yellow
17.01.20.L,7229693.419,2686290.808,709.658951,Yellow/Black
17.01.21.A,7230017.086,2686308.808,707.9205,Yellow/Black
17.01.21.B,7229987.774,2686308.808,708.088061,Yellow
17.01.21.C,7229958.461,2686308.808,708.255628,Yellow
17.01.21.D,7229929.148,2686308.808,708.423195,Yellow
17.01.21.E,7229899.836,2686308.808,708.590756,Yellow
17.01.21.F,7229870.523,2686308.808,708.758323,Yellow
17.01.21.G,7229842.643,2686308.808,708.917698,Blue
17.01.21.H,7229810.669,2686308.808,709.100476,Yellow
17.01.21.I,7229781.357,2686308.808,709.268038,Yellow
17.01.21.J,7229752.044,2686308.808,709.435605,Yellow
17.01.21.K,7229722.731,2686308.808,709.603172,Yellow
17.01.21.L,7229693.419,2686308.808,709.770733,Yellow/Black
17.01.22.A,7230017.086,2686326.808,707.862643,Yellow/Black
17.01.22.B,7229987.774,2686326.808,708.043773,Yellow
17.01.22.C,7229958.461,2686326.808,708.224908,Yellow
17.01.22.D,7229929.148,2686326.808,708.406044,Yellow
17.01.22.E,7229899.836,2686326.808,708.587174,Yellow
17.01.22.F,7229870.523,2686326.808,708.768309,Yellow
17.01.22.G,7229842.643,2686326.808,708.94059,Blue
17.01.22.H,7229810.669,2686326.808,709.138169,Yellow
17.01.22.I,7229781.357,2686326.808,709.319299,Yellow
17.01.22.J,7229752.044,2686326.808,709.500434,Yellow
17.01.22.K,7229722.731,2686326.808,709.68157,Yellow
17.01.22.L,7229693.419,2686326.808,709.8627,Yellow/Black
17.01.23.A,7230017.086,2686344.808,707.8357,Yellow/Black
17.01.23.B,7229987.774,2686344.808,708.01766,Yellow
17.01.23.C,7229958.461,2686344.808,708.199626,Yellow
17.01.23.D,7229929.148,2686344.808,708.381592,Yellow
17.01.23.E,7229899.836,2686344.808,708.563552,Yellow
17.01.23.F,7229870.523,2686344.808,708.745518,Yellow
17.01.23.G,7229842.643,2686344.808,708.918588,Blue
17.01.23.H,7229810.669,2686344.808,709.117073,Yellow
17.01.23.I,7229781.357,2686344.808,709.299033,Yellow
17.01.23.J,7229752.044,2686344.808,709.480999,Yellow
17.01.23.K,7229722.731,2686344.808,709.662965,Yellow
17.01.23.L,7229693.419,2686344.808,709.844925,Yellow/Black
17.01.24.A,7230017.086,2686362.808,707.7932,Yellow/Black
17.01.24.B,7229987.774,2686362.808,707.994635,Yellow
17.01.24.C,7229958.461,2686362.808,708.196078,Yellow
17.01.24.D,7229929.148,2686362.808,708.397521,Yellow
17.01.24.E,7229899.836,2686362.808,708.598956,Yellow
17.01.24.F,7229870.523,2686362.808,708.800399,Yellow
17.01.24.G,7229842.643,2686362.808,708.991994,Blue
17.01.24.H,7229810.669,2686362.808,709.211723,Yellow
17.01.24.I,7229781.357,2686362.808,709.413159,Yellow
17.01.24.J,7229752.044,2686362.808,709.614602,Yellow
17.01.24.K,7229722.731,2686362.808,709.816044,Yellow
17.01.24.L,7229693.419,2686362.808,710.01748,Yellow/Black
17.01.25.A,7230017.086,2686380.808,707.711176,Yellow/Black
17.01.25.B,7229987.774,2686380.808,707.924,Yellow
17.01.25.C,7229958.461,2686380.808,708.136831,Yellow
17.01.25.D,7229929.148,2686380.808,708.349663,Yellow
17.01.25.E,7229899.836,2686380.808,708.562487,Yellow
17.01.25.F,7229870.523,2686380.808,708.775318,Yellow
17.01.25.G,7229842.643,2686380.808,708.977745,Blue
17.01.25.H,7229810.669,2686380.808,709.209897,Yellow
17.01.25.I,7229781.357,2686380.808,709.422721,Yellow
17.01.25.J,7229752.044,2686380.808,709.635552,Yellow
17.01.25.K,7229722.731,2686380.808,709.848384,Yellow
17.01.25.L,7229693.419,2686380.808,710.061208,Yellow/Black
17.01.26.A,7230017.086,2686398.808,707.6648,Yellow/Orange
17.01.26.B,7229987.774,2686398.808,707.886591,Yellow/White
17.01.26.C,7229958.461,2686398.808,708.108389,Yellow/White
17.01.26.D,7229929.148,2686398.808,708.330188,Yellow/White
17.01.26.E,7229899.836,2686398.808,708.551979,Yellow/White
17.01.26.F,7229870.523,2686398.808,708.773777,Yellow/White
17.01.26.G,7229842.643,2686398.808,708.984733,Green/White
17.01.26.H,7229810.669,2686398.808,709.226666,Yellow/White
17.01.26.I,7229781.357,2686398.808,709.448456,Yellow/White
17.01.26.J,7229752.044,2686398.808,709.670255,Yellow/White
17.01.26.K,7229722.731,2686398.808,709.892053,Yellow/White
17.01.26.L,7229693.419,2686398.808,710.113844,Yellow/Orange
17.01.27.A,7230017.086,2686416.808,707.558271,Yellow/Orange
17.01.27.B,7229987.774,2686416.808,707.79312,Yellow/White
17.01.27.C,7229958.461,2686416.808,708.027976,Yellow/White
17.01.27.D,7229929.148,2686416.808,708.262833,Yellow/White
17.01.27.E,7229899.836,2686416.808,708.497681,Yellow/White
17.01.27.F,7229870.523,2686416.808,708.732538,Yellow/White
17.01.27.G,7229842.643,2686416.808,708.955913,Green/White
17.01.27.H,7229810.669,2686416.808,709.21209,Yellow/White
17.01.27.I,7229781.357,2686416.808,709.446938,Yellow/White
17.01.27.J,7229752.044,2686416.808,709.681795,Yellow/White
17.01.27.K,7229722.731,2686416.808,709.916651,Yellow/White
17.01.27.L,7229693.419,2686416.808,710.1515,Yellow/Orange
17.01.28.A,7230017.086,2686434.808,707.430499,Yellow/Orange
17.01.28.B,7229987.774,2686434.808,707.665424,Yellow/White
17.01.28.C,7229958.461,2686434.808,707.900358,Yellow/White
17.01.28.D,7229929.148,2686434.808,708.135292,Yellow/White
17.01.28.E,7229899.836,2686434.808,708.370217,Yellow/White
17.01.28.F,7229870.523,2686434.808,708.605151,Yellow/White
17.01.28.G,7229842.643,2686434.808,708.8286,Blue/White
17.01.28.H,7229810.669,2686434.808,709.084861,Yellow/White
17.01.28.I,7229781.357,2686434.808,709.319786,Yellow/White
17.01.28.J,7229752.044,2686434.808,709.55472,Yellow/White
17.01.28.K,7229722.731,2686434.808,709.789654,Yellow/White
17.01.28.L,7229693.419,2686434.808,710.024579,Yellow/Orange
17.01.29.A,7230017.086,2686452.808,707.43213,Yellow/Orange
17.01.29.B,7229987.774,2686452.808,707.671285,Yellow/White
17.01.29.C,7229958.461,2686452.808,707.910448,Yellow/White
17.01.29.D,7229929.148,2686452.808,708.149611,Yellow/White
17.01.29.E,7229899.836,2686452.808,708.388766,Yellow/White
17.01.29.F,7229870.523,2686452.808,708.627929,Yellow/White
17.01.29.G,7229842.643,2686452.808,708.8554,Blue/White
17.01.29.H,7229810.669,2686452.808,709.116274,Yellow/White
17.01.29.I,7229781.357,2686452.808,709.355429,Yellow/White
17.01.29.J,7229752.044,2686452.808,709.594592,Yellow/White
17.01.29.K,7229722.731,2686452.808,709.833755,Yellow/White
17.01.29.L,7229693.419,2686452.808,710.07291,Yellow/Orange
17.01.30.A,7230017.086,2686470.808,707.366244,Yellow/Orange
17.01.30.B,7229987.774,2686470.808,707.608505,Yellow/White
17.01.30.C,7229958.461,2686470.808,707.850774,Yellow/White
17.01.30.D,7229929.148,2686470.808,708.093044,Yellow/White
17.01.30.E,7229899.836,2686470.808,708.335305,Yellow/White
17.01.30.F,7229870.523,2686470.808,708.577574,Yellow/White
17.01.30.G,7229842.643,2686470.808,708.808,Blue/White
17.01.30.H,7229810.669,2686470.808,709.072262,Yellow/White
17.01.30.I,7229781.357,2686470.808,709.314523,Yellow/White
17.01.30.J,7229752.044,2686470.808,709.556793,Yellow/White
17.01.30.K,7229722.731,2686470.808,709.799062,Yellow/White
17.01.30.L,7229693.419,2686470.808,710.041323,Yellow/Orange
17.01.31.A,7230017.086,2686488.808,707.417184,Yellow/Orange
17.01.31.B,7229987.774,2686488.808,707.6628,Yellow/White
17.01.31.C,7229958.461,2686488.808,707.908424,Yellow/White
17.01.31.D,7229929.148,2686488.808,708.154049,Yellow/White
17.01.31.E,7229899.836,2686488.808,708.399665,Yellow/White
17.01.31.F,7229870.523,2686488.808,708.64529,Yellow/White
17.01.31.G,7229842.643,2686488.808,708.878907,Blue/White
17.01.31.H,7229810.669,2686488.808,709.146829,Yellow/White
17.01.31.I,7229781.357,2686488.808,709.392445,Yellow/White
17.01.31.J,7229752.044,2686488.808,709.63807,Yellow/White
17.01.31.K,7229722.731,2686488.808,709.883695,Yellow/White
17.01.31.L,7229693.419,2686488.808,710.129311,Yellow/Orange
17.01.32.A,7230017.086,2686506.808,707.41204,Yellow/Orange
17.01.32.B,7229987.774,2686506.808,707.650007,Yellow/White
17.01.32.C,7229958.461,2686506.808,707.887982,Yellow/White
17.01.32.D,7229929.148,2686506.808,708.125956,Yellow/White
17.01.32.E,7229899.836,2686506.808,708.363923,Yellow/White
17.01.32.F,7229870.523,2686506.808,708.601898,Yellow/White
17.01.32.G,7229842.643,2686506.808,708.828239,Green/White
17.01.32.H,7229810.669,2686506.808,709.087817,Yellow/White
17.01.32.I,7229781.357,2686506.808,709.325783,Yellow/White
17.01.32.J,7229752.044,2686506.808,709.563758,Yellow/White
17.01.32.K,7229722.731,2686506.808,709.801733,Yellow/White
17.01.32.L,7229693.419,2686506.808,710.0397,Yellow/Orange
17.01.33.A,7230017.086,2686524.808,707.340145,Yellow/Orange
17.01.33.B,7229987.774,2686524.808,707.58412,Yellow/White
17.01.33.C,7229958.461,2686524.808,707.828103,Yellow/White
17.01.33.D,7229929.148,2686524.808,708.072086,Yellow/White
17.01.33.E,7229899.836,2686524.808,708.316061,Yellow/White
17.01.33.F,7229870.523,2686524.808,708.560044,Yellow/White
17.01.33.G,7229842.643,2686524.808,708.7921,Blue/White
17.01.33.H,7229810.669,2686524.808,709.058231,Yellow/White
17.01.33.I,7229781.357,2686524.808,709.302206,Yellow/White
17.01.33.J,7229752.044,2686524.808,709.546189,Yellow/White
17.01.33.K,7229722.731,2686524.808,709.790172,Yellow/White
17.01.33.L,7229693.419,2686524.808,710.034147,Yellow/Orange
17.01.34.A,7230017.086,2686542.808,707.449503,Yellow/Orange
17.01.34.B,7229987.774,2686542.808,707.68293,Yellow/White
17.01.34.C,7229958.461,2686542.808,707.916365,Yellow/White
17.01.34.D,7229929.148,2686542.808,708.1498,Yellow/White
17.01.34.E,7229899.836,2686542.808,708.383227,Yellow/White
17.01.34.F,7229870.523,2686542.808,708.616662,Yellow/White
17.01.34.G,7229842.643,2686542.808,708.838685,Blue/White
17.01.34.H,7229810.669,2686542.808,709.093311,Yellow/White
17.01.34.I,7229781.357,2686542.808,709.326738,Yellow/White
17.01.34.J,7229752.044,2686542.808,709.560173,Yellow/White
17.01.34.K,7229722.731,2686542.808,709.793608,Yellow/White
17.01.34.L,7229693.419,2686542.808,710.027035,Yellow/Orange
17.01.35.A,7230017.086,2686560.808,707.106972,Yellow/Orange
17.01.35.B,7229987.774,2686560.808,707.371731,Yellow/White
17.01.35.C,7229958.461,2686560.808,707.6365,Yellow/White
17.01.35.D,7229929.148,2686560.808,707.901268,Yellow/White
17.01.35.E,7229899.836,2686560.808,708.166027,Yellow/White
17.01.35.F,7229870.523,2686560.808,708.430796,Yellow/White
17.01.35.G,7229842.643,2686560.808,708.68262,Black/White
17.01.35.H,7229810.669,2686560.808,708.971424,Yellow/White
17.01.35.I,7229781.357,2686560.808,709.236183,Yellow/White
17.01.35.J,7229752.044,2686560.808,709.500951,Yellow/White
17.01.35.K,7229722.731,2686560.808,709.76572,Yellow/White
17.01.35.L,7229693.419,2686560.808,710.030479,Yellow/Orange
17.02.01.A,7229668.625,2685948.808,707.536412,Pink/Orange
17.02.01.B,7229639.312,2685948.808,707.393206,Pink/Orange
17.02.01.C,7229609.999,2685948.808,707.25,Pink/White
17.02.01.D,7229580.687,2685948.808,707.106799,Pink/White
17.02.01.E,7229551.374,2685948.808,706.963594,Pink/White
17.02.01.F,7229522.061,2685948.808,706.820388,Pink/White
17.02.01.G,7229494.182,2685948.808,706.684188,Black/White
17.02.01.H,7229462.208,2685948.808,706.527982,Pink/White
17.02.01.I,7229432.895,2685948.808,706.384776,Pink/White
17.02.01.J,7229403.582,2685948.808,706.24157,Pink/White
17.02.01.K,7229374.27,2685948.808,706.098369,Pink/Orange
17.02.01.L,7229344.957,2685948.808,705.955163,Pink/Orange
17.02.02.A,7229668.625,2685966.808,707.686747,Pink/Orange
17.02.02.B,7229639.312,2685966.808,707.546263,Pink/Orange
17.02.02.C,7229609.999,2685966.808,707.405779,Pink/White
17.02.02.D,7229580.687,2685966.808,707.2653,Pink/White
17.02.02.E,7229551.374,2685966.808,707.124816,Pink/White
17.02.02.F,7229522.061,2685966.808,706.984332,Pink/White
17.02.02.G,7229494.182,2685966.808,706.85072,Purple/White
17.02.02.H,7229462.208,2685966.808,706.697483,Pink/White
