P,N,E,N,N
3622,2196006.148,6521305.312,0,Standard Array Pier
3623,2195840.358,6521305.312,0,Standard Array Pier
3624,2195806.609,6521305.312,0,Standard Array Pier
3625,2195874.106,6521305.312,0,Standard Array Pier
3626,2196039.896,6521305.312,0,Standard Array Pier
3627,2196964.617,6521305.312,0,Standard Array Pier
3628,2197032.113,6521305.312,0,Standard Array Pier
3629,2197096.658,6521305.312,0,Standard Array Pier
3630,2196069.507,6521305.312,0,Standard Array Pier
3631,2196935.006,6521305.312,0,Standard Array Pier
3632,2196998.365,6521305.312,0,Standard Array Pier
3633,2196963.57,6521266.25,0,Standard Array Pier
3634,2197031.067,6521266.25,0,Standard Array Pier
3635,2197095.612,6521266.25,0,Standard Array Pier
3636,2196068.461,6521266.25,0,Standard Array Pier
3637,2196933.959,6521266.25,0,Standard Array Pier
3638,2196997.318,6521266.25,0,Standard Array Pier
3639,2197129.36,6521266.25,0,Standard Array Pier
3640,2195805.039,6521246.72,0,Standard Array Pier
3641,2195872.536,6521246.72,0,Standard Array Pier
3642,2195937.081,6521246.72,0,Standard Array Pier
3643,2197163.108,6521266.25,0,Standard Array Pier
3644,2197196.857,6521266.25,0,Standard Array Pier
3645,2195838.788,6521246.72,0,Standard Array Pier
3646,2197129.883,6521285.781,0,Standard Array Pier
3647,2197163.632,6521285.781,0,Standard Array Pier
3648,2197197.38,6521285.781,0,Standard Array Pier
3649,2196964.093,6521285.781,0,Standard Array Pier
3650,2197031.59,6521285.781,0,Standard Array Pier
3651,2197096.135,6521285.781,0,Standard Array Pier
3652,2195839.311,6521266.25,0,Standard Array Pier
3653,2195971.353,6521266.25,0,Standard Array Pier
3654,2196005.101,6521266.25,0,Standard Array Pier
3655,2196038.849,6521266.25,0,Standard Array Pier
3656,2195805.563,6521266.25,0,Standard Array Pier
3657,2195873.059,6521266.25,0,Standard Array Pier
3658,2195937.604,6521266.25,0,Standard Array Pier
3659,2197105.032,6521617.802,0,Standard Array Pier
3660,2197138.781,6521617.802,0,Standard Array Pier
3661,2197172.529,6521617.802,0,Standard Array Pier
3662,2197006.739,6521617.802,0,Standard Array Pier
3663,2196972.991,6521617.802,0,Standard Array Pier
3664,2197040.487,6521617.802,0,Standard Array Pier
3665,2197206.277,6521617.802,0,Standard Array Pier
3666,2195946.502,6521598.271,0,Standard Array Pier
3667,2195980.25,6521598.271,0,Standard Array Pier
3668,2196013.998,6521598.271,0,Standard Array Pier
3669,2195848.208,6521598.271,0,Standard Array Pier
3670,2195814.46,6521598.271,0,Standard Array Pier
3671,2195881.957,6521598.271,0,Standard Array Pier
3672,2196078.405,6521637.333,0,Standard Array Pier
3673,2195848.732,6521617.802,0,Standard Array Pier
3674,2195814.983,6521617.802,0,Standard Array Pier
3675,2195981.297,6521637.333,0,Standard Array Pier
3676,2196015.045,6521637.333,0,Standard Array Pier
3677,2196048.793,6521637.333,0,Standard Array Pier
3678,2195882.48,6521617.802,0,Standard Array Pier
3679,2196048.27,6521617.802,0,Standard Array Pier
3680,2196077.881,6521617.802,0,Standard Array Pier
3681,2196943.379,6521617.802,0,Standard Array Pier
3682,2195947.025,6521617.802,0,Standard Array Pier
3683,2195980.773,6521617.802,0,Standard Array Pier
3684,2196014.522,6521617.802,0,Standard Array Pier
3685,2196047.223,6521578.741,0,Standard Array Pier
3686,2196076.835,6521578.741,0,Standard Array Pier
3687,2196942.333,6521578.741,0,Standard Array Pier
3688,2195945.978,6521578.741,0,Standard Array Pier
3689,2195979.727,6521578.741,0,Standard Array Pier
3690,2196013.475,6521578.741,0,Standard Array Pier
3691,2197005.692,6521578.741,0,Standard Array Pier
3692,2197137.734,6521578.741,0,Standard Array Pier
3693,2197171.482,6521578.741,0,Standard Array Pier
3694,2197205.231,6521578.741,0,Standard Array Pier
3695,2196971.944,6521578.741,0,Standard Array Pier
3696,2197039.441,6521578.741,0,Standard Array Pier
3697,2197103.986,6521578.741,0,Standard Array Pier
3698,2197006.216,6521598.271,0,Standard Array Pier
3699,2196972.467,6521598.271,0,Standard Array Pier
3700,2197039.964,6521598.271,0,Standard Array Pier
3701,2196047.747,6521598.271,0,Standard Array Pier
3702,2196077.358,6521598.271,0,Standard Array Pier
3703,2196942.856,6521598.271,0,Standard Array Pier
3704,2197104.509,6521598.271,0,Standard Array Pier
3705,2195847.685,6521578.741,0,Standard Array Pier
3706,2195813.936,6521578.741,0,Standard Array Pier
3707,2195881.433,6521578.741,0,Standard Array Pier
3708,2197138.257,6521598.271,0,Standard Array Pier
3709,2197172.006,6521598.271,0,Standard Array Pier
3710,2197205.754,6521598.271,0,Standard Array Pier
3711,2195851.348,6521715.455,0,Standard Array Pier
3712,2195817.6,6521715.455,0,Standard Array Pier
3713,2195885.097,6521715.455,0,Standard Array Pier
3714,2196017.662,6521734.986,0,Standard Array Pier
3715,2196051.41,6521734.986,0,Standard Array Pier
3716,2196081.021,6521734.986,0,Standard Array Pier
3717,2195949.642,6521715.455,0,Standard Array Pier
3718,2196080.498,6521715.455,0,Standard Array Pier
3719,2195850.825,6521695.925,0,Standard Array Pier
3720,2195817.077,6521695.925,0,Standard Array Pier
3721,2195983.39,6521715.455,0,Standard Array Pier
3722,2196017.139,6521715.455,0,Standard Array Pier
3723,2196050.887,6521715.455,0,Standard Array Pier
3724,2195950.689,6521754.516,0,Standard Array Pier
3725,2195984.437,6521754.516,0,Standard Array Pier
3726,2196018.185,6521754.516,0,Standard Array Pier
3727,2195852.395,6521754.516,0,Standard Array Pier
3728,2195818.647,6521754.516,0,Standard Array Pier
3729,2195886.143,6521754.516,0,Standard Array Pier
